"filename", "language", "Python", "Markdown", "HTML", "SCSS", "Less", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\BUAAzhihu\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\BUAAzhihu\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\BUAAzhihu\settings.py", "Python", 74, 0, 0, 0, 0, 0, 0, 0, 28, 34, 136
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\BUAAzhihu\urls.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 15, 6, 50
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\BUAAzhihu\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\admin.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 2, 5, 20
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\migrations\0001_initial.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 1, 7, 60
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\migrations\0002_user_list_academy.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\migrations\0003_alter_user_list_name.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\migrations\0004_auto_20220817_1455.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 1, 6, 38
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\migrations\0005_auto_20220817_2235.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\migrations\0006_comment_list.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 1, 6, 25
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\migrations\0007_ans_list_see_num.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\migrations\0008_ask_list_ask_kind.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\models.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 1, 6, 58
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\js\jquery-3.6.0.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6895, 0, 1911, 2076, 10882
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\bootstrap-3.4.1\css\bootstrap-theme.css", "CSS", 0, 0, 0, 0, 0, 581, 0, 0, 6, 0, 587
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\bootstrap-3.4.1\css\bootstrap-theme.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 6
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\bootstrap-3.4.1\css\bootstrap.css", "CSS", 0, 0, 0, 0, 0, 6826, 0, 0, 8, 0, 6834
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\bootstrap-3.4.1\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 6
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\bootstrap-3.4.1\fonts\glyphicons-halflings-regular.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 288, 0, 0, 288
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\bootstrap-3.4.1\js\bootstrap.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1752, 0, 211, 618, 2581
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\bootstrap-3.4.1\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\bootstrap-3.4.1\js\npm.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 1, 0, 13
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\css\font-awesome.css", "CSS", 0, 0, 0, 0, 0, 2327, 0, 0, 10, 1, 2338
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\css\font-awesome.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 5
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2671, 0, 1, 2672
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\less\animated.less", "Less", 0, 0, 0, 0, 28, 0, 0, 0, 2, 5, 35
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\less\bordered-pulled.less", "Less", 0, 0, 0, 0, 17, 0, 0, 0, 3, 6, 26
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\less\core.less", "Less", 0, 0, 0, 0, 8, 0, 0, 0, 2, 3, 13
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\less\fixed-width.less", "Less", 0, 0, 0, 0, 4, 0, 0, 0, 2, 1, 7
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\less\font-awesome.less", "Less", 0, 0, 0, 0, 13, 0, 0, 0, 4, 2, 19
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\less\icons.less", "Less", 0, 0, 0, 0, 786, 0, 0, 0, 2, 2, 790
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\less\larger.less", "Less", 0, 0, 0, 0, 9, 0, 0, 0, 3, 2, 14
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\less\list.less", "Less", 0, 0, 0, 0, 16, 0, 0, 0, 2, 2, 20
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\less\mixins.less", "Less", 0, 0, 0, 0, 41, 0, 0, 0, 10, 10, 61
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\less\path.less", "Less", 0, 0, 0, 0, 11, 0, 0, 0, 3, 2, 16
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\less\rotated-flipped.less", "Less", 0, 0, 0, 0, 12, 0, 0, 0, 4, 5, 21
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\less\screen-reader.less", "Less", 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 6
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\less\stacked.less", "Less", 0, 0, 0, 0, 17, 0, 0, 0, 2, 2, 21
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\less\variables.less", "Less", 0, 0, 0, 0, 794, 0, 0, 0, 3, 4, 801
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\scss\_animated.scss", "SCSS", 0, 0, 0, 28, 0, 0, 0, 0, 2, 5, 35
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\scss\_bordered-pulled.scss", "SCSS", 0, 0, 0, 17, 0, 0, 0, 0, 3, 6, 26
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\scss\_core.scss", "SCSS", 0, 0, 0, 8, 0, 0, 0, 0, 2, 3, 13
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\scss\_fixed-width.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 0, 2, 1, 7
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\scss\_icons.scss", "SCSS", 0, 0, 0, 786, 0, 0, 0, 0, 2, 2, 790
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\scss\_larger.scss", "SCSS", 0, 0, 0, 9, 0, 0, 0, 0, 3, 2, 14
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\scss\_list.scss", "SCSS", 0, 0, 0, 16, 0, 0, 0, 0, 2, 2, 20
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\scss\_mixins.scss", "SCSS", 0, 0, 0, 41, 0, 0, 0, 0, 10, 10, 61
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\scss\_path.scss", "SCSS", 0, 0, 0, 11, 0, 0, 0, 0, 3, 2, 16
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\scss\_rotated-flipped.scss", "SCSS", 0, 0, 0, 12, 0, 0, 0, 0, 4, 5, 21
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\scss\_screen-reader.scss", "SCSS", 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 6
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\scss\_stacked.scss", "SCSS", 0, 0, 0, 17, 0, 0, 0, 0, 2, 2, 21
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\scss\_variables.scss", "SCSS", 0, 0, 0, 794, 0, 0, 0, 0, 3, 4, 801
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\static\plugins\font-awesome-4.7.0\scss\font-awesome.scss", "SCSS", 0, 0, 0, 13, 0, 0, 0, 0, 4, 2, 19
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\templates\answer_page.html", "HTML", 0, 0, 255, 0, 0, 0, 0, 0, 0, 32, 287
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\templates\ask_raise.html", "HTML", 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\templates\daohanglan.html", "HTML", 0, 0, 60, 0, 0, 0, 0, 0, 1, 6, 67
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\templates\home_layout.html", "HTML", 0, 0, 62, 0, 0, 0, 0, 0, 1, 15, 78
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\templates\homepage.html", "HTML", 0, 0, 247, 0, 0, 0, 0, 0, 1, 36, 284
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\templates\layout.html", "HTML", 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\templates\login.html", "HTML", 0, 0, 58, 0, 0, 0, 0, 0, 1, 6, 65
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\templates\problem_page.html", "HTML", 0, 0, 180, 0, 0, 0, 0, 0, 0, 18, 198
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\templates\problem_set.html", "HTML", 0, 0, 128, 0, 0, 0, 0, 0, 1, 23, 152
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\templates\register.html", "HTML", 0, 0, 48, 0, 0, 0, 0, 0, 0, 3, 51
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\templates\self_homepage.html", "HTML", 0, 0, 478, 0, 0, 0, 0, 0, 10, 62, 550
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\utils\encrypt.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\utils\pagination.py", "Python", 70, 0, 0, 0, 0, 0, 0, 0, 56, 22, 148
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\views\index.py", "Python", 176, 0, 0, 0, 0, 0, 0, 0, 2, 46, 224
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\app1\views\user.py", "Python", 216, 0, 0, 0, 0, 0, 0, 0, 7, 56, 279
"e:\amaterials\program\Codefield\BUAAzhihu\BUAAzhihu\manage.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 3, 5, 23
"e:\amaterials\program\Codefield\BUAAzhihu\note.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"Total", "-", 832, 9, 1561, 1758, 1758, 9737, 8660, 2959, 2407, 3249, 32930